縣市,鄉鎮市區,村里,所得平均數_萬元,所得中位數_萬元,目標年齡層佔比_百分比,附近核心商場/商圈,latitude,longitude
苗栗縣,銅鑼鄉,第217里,111.9,84.7,26.2,苗栗縣銅鑼鄉核心商圈,24.5309,120.8684
台中市,北屯區,第217里,194.9,148.5,26.6,台中市北屯區核心商圈,24.2297,120.6442
彰化縣,二水鄉,第217里,106.9,75.7,26.2,彰化縣二水鄉核心商圈,24.1387,120.6037
南投縣,竹山鎮,第217里,95.1,67.0,22.2,南投縣竹山鎮核心商圈,23.868,120.6182
雲林縣,虎尾鎮,第217里,117.4,91.1,27.4,雲林縣虎尾鎮核心商圈,23.7401,120.5035
嘉義市,東區,第217里,87.8,66.5,24.2,嘉義市東區核心商圈,23.5202,120.4964
嘉義縣,太保市,第217里,105.2,80.2,26.4,嘉義縣太保市核心商圈,23.5032,120.2681
台南市,七股區,第217里,142.2,111.2,26.1,台南市七股區核心商圈,23.0496,120.197
高雄市,大寮區,第217里,167.2,133.7,27.3,高雄市大寮區核心商圈,22.6833,120.2557
屏東縣,車城鄉,第217里,85.7,62.4,23.0,屏東縣車城鄉核心商圈,22.6812,120.552
宜蘭縣,宜蘭市,第217里,114.4,82.3,22.1,宜蘭縣宜蘭市核心商圈,24.8163,121.743
花蓮縣,玉里鎮,第217里,84.4,60.4,23.5,花蓮縣玉里鎮核心商圈,24.039,121.6483
台東縣,卑南鄉,第217里,102.0,75.6,26.5,台東縣卑南鄉核心商圈,22.7184,121.1203
澎湖縣,西嶼鄉,第217里,101.8,72.9,24.3,澎湖縣西嶼鄉核心商圈,23.5421,119.4934
金門縣,烈嶼鄉,第217里,94.1,68.4,27.4,金門縣烈嶼鄉核心商圈,24.3763,118.4171
連江縣,北竿鄉,第217里,108.6,79.2,26.8,連江縣北竿鄉核心商圈,26.0806,119.9483
台北市,大同區,第218里,225.1,180.2,30.3,台北市大同區核心商圈,25.045,121.6035
新北市,三峽區,第218里,136.6,107.8,29.9,新北市三峽區核心商圈,25.0387,121.4335
基隆市,中山區,第218里,96.7,73.8,23.5,基隆市中山區核心商圈,25.1125,121.7027
桃園市,楊梅區,第218里,150.0,116.4,27.9,桃園市楊梅區核心商圈,25.0113,121.3569
新竹市,北區,第218里,278.9,210.9,35.6,新竹市北區核心商圈,24.7789,121.0134
新竹縣,竹東鎮,第218里,161.7,122.1,27.8,新竹縣竹東鎮核心商圈,24.7749,121.0463
苗栗縣,獅潭鄉,第218里,98.9,74.9,23.9,苗栗縣獅潭鄉核心商圈,24.5679,120.8756
台中市,和平區,第218里,161.8,126.2,33.3,台中市和平區核心商圈,24.113,120.6558
彰化縣,永靖鄉,第218里,85.1,63.9,28.8,彰化縣永靖鄉核心商圈,24.0108,120.5244
南投縣,竹山鎮,第218里,93.6,72.0,23.3,南投縣竹山鎮核心商圈,23.8533,120.7013
雲林縣,斗六市,第218里,85.0,64.0,27.5,雲林縣斗六市核心商圈,23.734,120.3793
嘉義市,西區,第218里,103.6,78.6,25.8,嘉義市西區核心商圈,23.4788,120.4742
嘉義縣,新港鄉,第218里,89.3,63.3,28.9,嘉義縣新港鄉核心商圈,23.5351,120.282
台南市,楠西區,第218里,127.8,97.6,25.2,台南市楠西區核心商圈,22.9535,120.1934
高雄市,大社區,第218里,104.3,75.1,30.2,高雄市大社區核心商圈,22.6955,120.271
屏東縣,屏東市,第218里,113.9,86.1,27.0,屏東縣屏東市核心商圈,22.719,120.5319
宜蘭縣,員山鄉,第218里,90.9,65.0,22.5,宜蘭縣員山鄉核心商圈,24.7562,121.8235
花蓮縣,花蓮市,第218里,106.2,81.9,28.2,花蓮縣花蓮市核心商圈,23.9818,121.6084
台東縣,池上鄉,第218里,83.0,58.1,23.6,台東縣池上鄉核心商圈,22.7378,121.0953
澎湖縣,望安鄉,第218里,117.4,83.1,28.7,澎湖縣望安鄉核心商圈,23.5685,119.5552
金門縣,金湖鎮,第218里,104.7,81.0,25.2,金門縣金湖鎮核心商圈,24.4398,118.3902
連江縣,北竿鄉,第218里,97.8,71.9,22.2,連江縣北竿鄉核心商圈,26.0956,119.9869
台北市,大安區,第219里,299.3,250.4,33.4,台北市大安區核心商圈,25.1062,121.6319
新北市,永和區,第219里,173.2,128.1,27.9,新北市永和區核心商圈,25.012,121.5154
基隆市,中山區,第219里,103.8,79.1,22.4,基隆市中山區核心商圈,25.1942,121.7859
桃園市,新屋區,第219里,137.8,103.0,32.8,桃園市新屋區核心商圈,24.9403,121.233
新竹市,香山區,第219里,173.0,136.4,31.6,新竹市香山區核心商圈,24.7114,121.0739
新竹縣,北埔鄉,第219里,157.9,125.4,27.5,新竹縣北埔鄉核心商圈,24.8687,120.9786
苗栗縣,銅鑼鄉,第219里,106.1,80.1,25.2,苗栗縣銅鑼鄉核心商圈,24.6325,120.7669
台中市,石岡區,第219里,126.2,102.0,27.3,台中市石岡區核心商圈,24.1717,120.6906
彰化縣,大村鄉,第219里,101.7,78.9,24.8,彰化縣大村鄉核心商圈,24.074,120.5542
南投縣,竹山鎮,第219里,109.7,82.6,28.1,南投縣竹山鎮核心商圈,23.8718,120.6327
雲林縣,東勢鄉,第219里,116.2,84.4,24.6,雲林縣東勢鄉核心商圈,23.7538,120.3918
嘉義市,東區,第219里,97.9,73.6,25.9,嘉義市東區核心商圈,23.5072,120.4381
嘉義縣,朴子市,第219里,91.8,67.8,23.5,嘉義縣朴子市核心商圈,23.4711,120.2647
台南市,下營區,第219里,98.8,78.1,25.5,台南市下營區核心商圈,23.0098,120.2194
高雄市,前鎮區,第219里,113.4,85.4,27.0,高雄市前鎮區核心商圈,22.6625,120.228
屏東縣,霧臺鄉,第219里,119.2,83.6,22.6,屏東縣霧臺鄉核心商圈,22.5982,120.5432
宜蘭縣,大同鄉,第219里,118.2,83.9,27.2,宜蘭縣大同鄉核心商圈,24.7149,121.7982
花蓮縣,瑞穗鄉,第219里,99.3,73.1,24.7,花蓮縣瑞穗鄉核心商圈,23.9003,121.6272
台東縣,大武鄉,第219里,116.8,90.9,25.9,台東縣大武鄉核心商圈,22.7555,121.1697
澎湖縣,西嶼鄉,第219里,82.7,61.1,28.5,澎湖縣西嶼鄉核心商圈,23.5026,119.6077
金門縣,金城鎮,第219里,97.9,74.8,24.9,金門縣金城鎮核心商圈,24.5018,118.4016
連江縣,南竿鄉,第219里,89.7,65.1,28.1,連江縣南竿鄉核心商圈,26.2047,120.0093
台北市,大安區,第220里,157.1,117.9,34.6,台北市大安區核心商圈,25.0247,121.572
新北市,金山區,第220里,107.0,82.9,28.8,新北市金山區核心商圈,25.0159,121.4473
基隆市,中正區,第220里,96.0,72.6,27.6,基隆市中正區核心商圈,25.1664,121.7188
桃園市,龜山區,第220里,189.8,147.8,32.9,桃園市龜山區核心商圈,25.0375,121.3245
新竹市,北區,第220里,249.7,189.8,28.1,新竹市北區核心商圈,24.797,121.0877
新竹縣,湖口鄉,第220里,184.3,138.2,29.5,新竹縣湖口鄉核心商圈,24.7824,121.0669
苗栗縣,造橋鄉,第220里,114.8,89.1,23.2,苗栗縣造橋鄉核心商圈,24.5862,120.7862
台中市,中區,第220里,159.5,118.9,26.4,台中市中區核心商圈,24.1806,120.7109
彰化縣,員林市,第220里,96.9,71.9,27.4,彰化縣員林市核心商圈,24.036,120.5397
南投縣,仁愛鄉,第220里,116.0,82.8,22.8,南投縣仁愛鄉核心商圈,23.9113,120.7252
雲林縣,崙背鄉,第220里,110.6,83.8,22.3,雲林縣崙背鄉核心商圈,23.6615,120.4837
嘉義市,東區,第220里,82.0,61.4,24.3,嘉義市東區核心商圈,23.4067,120.4298
嘉義縣,番路鄉,第220里,110.5,81.9,26.9,嘉義縣番路鄉核心商圈,23.4579,120.3011
台南市,學甲區,第220里,112.8,79.0,26.6,台南市學甲區核心商圈,23.0154,120.272
高雄市,林園區,第220里,134.5,99.1,26.5,高雄市林園區核心商圈,22.5793,120.3687
屏東縣,春日鄉,第220里,98.9,75.0,27.9,屏東縣春日鄉核心商圈,22.7065,120.4052
宜蘭縣,壯圍鄉,第220里,106.8,77.9,27.7,宜蘭縣壯圍鄉核心商圈,24.726,121.7777
花蓮縣,秀林鄉,第220里,107.8,78.6,24.1,花蓮縣秀林鄉核心商圈,23.9314,121.612
台東縣,鹿野鄉,第220里,86.6,61.0,22.3,台東縣鹿野鄉核心商圈,22.7754,121.1533
澎湖縣,白沙鄉,第220里,105.4,81.0,26.4,澎湖縣白沙鄉核心商圈,23.5088,119.5054
金門縣,金城鎮,第220里,89.2,63.4,24.5,金門縣金城鎮核心商圈,24.4652,118.3034
連江縣,北竿鄉,第220里,102.7,75.1,25.1,連江縣北竿鄉核心商圈,26.113,119.949
台北市,中正區,第221里,302.8,235.7,30.7,台北市中正區核心商圈,25.0221,121.5814
新北市,鶯歌區,第221里,148.3,108.3,30.2,新北市鶯歌區核心商圈,25.055,121.3932
基隆市,安樂區,第221里,87.1,67.8,26.1,基隆市安樂區核心商圈,25.0813,121.6842
桃園市,蘆竹區,第221里,177.6,144.8,30.9,桃園市蘆竹區核心商圈,24.9641,121.2644
新竹市,北區,第221里,223.3,171.9,29.1,新竹市北區核心商圈,24.7629,121.0219
新竹縣,尖石鄉,第221里,197.4,151.2,32.1,新竹縣尖石鄉核心商圈,24.8091,121.0285
苗栗縣,銅鑼鄉,第221里,117.6,87.5,22.9,苗栗縣銅鑼鄉核心商圈,24.4997,120.7922
台中市,龍井區,第221里,154.8,125.0,30.1,台中市龍井區核心商圈,24.218,120.5969
彰化縣,伸港鄉,第221里,117.0,83.8,25.7,彰化縣伸港鄉核心商圈,24.078,120.5868
南投縣,名間鄉,第221里,106.7,83.0,26.3,南投縣名間鄉核心商圈,23.8324,120.6997
雲林縣,斗南鎮,第221里,93.3,67.7,22.6,雲林縣斗南鎮核心商圈,23.6585,120.3503
嘉義市,西區,第221里,104.2,74.6,24.2,嘉義市西區核心商圈,23.4211,120.502
嘉義縣,大埔鄉,第221里,114.8,85.5,22.5,嘉義縣大埔鄉核心商圈,23.4216,120.2888
台南市,山上區,第221里,128.1,92.1,30.2,台南市山上區核心商圈,22.9545,120.1401
高雄市,內門區,第221里,149.4,119.5,27.1,高雄市內門區核心商圈,22.7247,120.2504
屏東縣,麟洛鄉,第221里,111.2,79.2,27.4,屏東縣麟洛鄉核心商圈,22.6387,120.5516
宜蘭縣,頭城鎮,第221里,94.8,68.8,26.8,宜蘭縣頭城鎮核心商圈,24.758,121.7741
花蓮縣,瑞穗鄉,第221里,117.5,85.3,23.7,花蓮縣瑞穗鄉核心商圈,24.0361,121.6542
台東縣,卑南鄉,第221里,97.2,69.3,23.0,台東縣卑南鄉核心商圈,22.8069,121.1385
澎湖縣,湖西鄉,第221里,101.3,71.0,23.7,澎湖縣湖西鄉核心商圈,23.5898,119.5905
金門縣,金寧鄉,第221里,82.6,61.1,22.3,金門縣金寧鄉核心商圈,24.4236,118.4341
連江縣,莒光鄉,第221里,87.8,62.6,28.3,連江縣莒光鄉核心商圈,26.2092,119.9763
台北市,大同區,第222里,234.8,194.1,28.1,台北市大同區核心商圈,25.0153,121.4837
新北市,深坑區,第222里,157.1,126.5,33.7,新北市深坑區核心商圈,24.9893,121.4469
基隆市,中正區,第222里,116.4,85.0,24.3,基隆市中正區核心商圈,25.1428,121.7169
桃園市,龍潭區,第222里,120.6,90.0,31.0,桃園市龍潭區核心商圈,25.0131,121.3605
新竹市,香山區,第222里,260.7,216.7,29.7,新竹市香山區核心商圈,24.8375,121.047
新竹縣,芎林鄉,第222里,121.3,92.6,32.3,新竹縣芎林鄉核心商圈,24.8127,120.9872
苗栗縣,三義鄉,第222里,88.1,64.7,25.0,苗栗縣三義鄉核心商圈,24.552,120.7807
台中市,南屯區,第222里,172.6,137.5,29.4,台中市南屯區核心商圈,24.1056,120.7127
彰化縣,伸港鄉,第222里,96.8,68.2,26.0,彰化縣伸港鄉核心商圈,24.0938,120.5299
南投縣,埔里鎮,第222里,93.8,70.1,24.3,南投縣埔里鎮核心商圈,23.903,120.6197
雲林縣,口湖鄉,第222里,116.0,88.0,22.5,雲林縣口湖鄉核心商圈,23.687,120.3624
嘉義市,東區,第222里,90.7,68.2,26.8,嘉義市東區核心商圈,23.4046,120.4358
嘉義縣,溪口鄉,第222里,87.5,66.9,27.7,嘉義縣溪口鄉核心商圈,23.4779,120.3408
台南市,北區,第222里,160.9,121.9,27.5,台南市北區核心商圈,22.9907,120.159
高雄市,大社區,第222里,97.6,70.9,27.5,高雄市大社區核心商圈,22.6643,120.3412
屏東縣,內埔鄉,第222里,108.1,79.5,27.3,屏東縣內埔鄉核心商圈,22.7189,120.4658
宜蘭縣,南澳鄉,第222里,82.1,59.5,28.7,宜蘭縣南澳鄉核心商圈,24.7378,121.6944
花蓮縣,玉里鎮,第222里,112.8,82.5,25.9,花蓮縣玉里鎮核心商圈,24.043,121.5864
台東縣,台東市,第222里,94.2,68.4,28.8,台東縣台東市核心商圈,22.6948,121.1987
澎湖縣,馬公市,第222里,83.6,61.5,23.4,澎湖縣馬公市核心商圈,23.6221,119.5767
金門縣,金湖鎮,第222里,93.9,70.5,23.2,金門縣金湖鎮核心商圈,24.4867,118.3094
連江縣,莒光鄉,第222里,106.3,80.4,22.0,連江縣莒光鄉核心商圈,26.1673,119.9343
台北市,萬華區,第223里,143.6,116.5,34.2,台北市萬華區核心商圈,25.011,121.5527
新北市,蘆洲區,第223里,149.7,117.3,28.2,新北市蘆洲區核心商圈,25.078,121.4375
基隆市,中正區,第223里,88.7,64.4,26.1,基隆市中正區核心商圈,25.1825,121.8093
桃園市,龍潭區,第223里,151.5,117.9,28.0,桃園市龍潭區核心商圈,25.0273,121.3181
新竹市,東區,第223里,222.0,186.6,34.1,新竹市東區核心商圈,24.7646,120.9615
新竹縣,北埔鄉,第223里,154.6,116.9,28.0,新竹縣北埔鄉核心商圈,24.8773,120.9336
苗栗縣,泰安鄉,第223里,117.0,83.9,26.6,苗栗縣泰安鄉核心商圈,24.5313,120.7867
台中市,南區,第223里,118.1,95.0,29.1,台中市南區核心商圈,24.2005,120.6883
彰化縣,溪州鄉,第223里,118.1,91.7,22.5,彰化縣溪州鄉核心商圈,24.0672,120.5646
南投縣,名間鄉,第223里,98.5,74.1,25.4,南投縣名間鄉核心商圈,23.9246,120.7359
雲林縣,臺西鄉,第223里,117.7,89.5,26.2,雲林縣臺西鄉核心商圈,23.6356,120.4475
嘉義市,西區,第223里,104.6,73.9,28.7,嘉義市西區核心商圈,23.4653,120.4213
嘉義縣,中埔鄉,第223里,100.3,73.3,23.1,嘉義縣中埔鄉核心商圈,23.4992,120.3461
台南市,新營區,第223里,176.3,124.2,26.5,台南市新營區核心商圈,22.9566,120.1977
高雄市,前金區,第223里,114.6,82.3,26.3,高雄市前金區核心商圈,22.7267,120.2272
屏東縣,麟洛鄉,第223里,115.2,83.4,25.7,屏東縣麟洛鄉核心商圈,22.6158,120.4852
宜蘭縣,羅東鎮,第223里,99.7,73.7,27.6,宜蘭縣羅東鎮核心商圈,24.8186,121.7405
花蓮縣,花蓮市,第223里,101.3,78.2,26.7,花蓮縣花蓮市核心商圈,23.9126,121.6129
台東縣,成功鎮,第223里,112.9,84.6,27.1,台東縣成功鎮核心商圈,22.7373,121.1222
澎湖縣,西嶼鄉,第223里,102.1,73.6,25.6,澎湖縣西嶼鄉核心商圈,23.6067,119.6205
金門縣,金城鎮,第223里,102.6,72.3,24.7,金門縣金城鎮核心商圈,24.4105,118.3686
連江縣,莒光鄉,第223里,85.1,61.9,22.9,連江縣莒光鄉核心商圈,26.0775,119.9089
台北市,中山區,第224里,229.8,186.4,32.9,台北市中山區核心商圈,24.9747,121.6076
新北市,萬里區,第224里,166.3,126.7,33.3,新北市萬里區核心商圈,24.9474,121.437
基隆市,中山區,第224里,99.5,74.1,25.3,基隆市中山區核心商圈,25.1427,121.7556
桃園市,大溪區,第224里,110.9,89.7,30.9,桃園市大溪區核心商圈,24.9179,121.3196
新竹市,北區,第224里,288.4,219.9,34.9,新竹市北區核心商圈,24.7757,121.0693
新竹縣,峨眉鄉,第224里,135.1,97.8,26.1,新竹縣峨眉鄉核心商圈,24.7898,121.0068
苗栗縣,大湖鄉,第224里,106.8,76.6,26.8,苗栗縣大湖鄉核心商圈,24.5074,120.8166
台中市,東勢區,第224里,187.7,150.5,33.6,台中市東勢區核心商圈,24.1444,120.5959
彰化縣,二水鄉,第224里,89.8,68.9,25.0,彰化縣二水鄉核心商圈,24.082,120.5281
南投縣,信義鄉,第224里,117.6,87.0,27.1,南投縣信義鄉核心商圈,23.9681,120.7357
雲林縣,水林鄉,第224里,88.5,64.3,24.7,雲林縣水林鄉核心商圈,23.6386,120.352
嘉義市,西區,第224里,101.2,73.1,25.5,嘉義市西區核心商圈,23.4852,120.4737
嘉義縣,竹崎鄉,第224里,97.4,74.3,28.1,嘉義縣竹崎鄉核心商圈,23.4288,120.2129
台南市,歸仁區,第224里,113.9,88.6,30.7,台南市歸仁區核心商圈,23.0574,120.1538
高雄市,茄萣區,第224里,95.9,67.9,28.0,高雄市茄萣區核心商圈,22.5856,120.2324
屏東縣,竹田鄉,第224里,113.6,86.9,24.4,屏東縣竹田鄉核心商圈,22.6531,120.5449
宜蘭縣,大同鄉,第224里,88.4,65.7,23.5,宜蘭縣大同鄉核心商圈,24.6785,121.7592
花蓮縣,壽豐鄉,第224里,102.5,75.8,26.4,花蓮縣壽豐鄉核心商圈,24.0179,121.5331
台東縣,池上鄉,第224里,117.0,89.1,28.3,台東縣池上鄉核心商圈,22.7679,121.1087
澎湖縣,七美鄉,第224里,86.0,60.4,27.9,澎湖縣七美鄉核心商圈,23.6492,119.6295
金門縣,烏坵鄉,第224里,117.3,91.0,28.4,金門縣烏坵鄉核心商圈,24.4794,118.432
連江縣,東引鄉,第224里,110.6,79.9,25.1,連江縣東引鄉核心商圈,26.2063,119.9158
台北市,士林區,第225里,245.7,189.7,30.4,台北市士林區核心商圈,25.0885,121.5489
新北市,樹林區,第225里,107.0,78.0,33.0,新北市樹林區核心商圈,25.0189,121.3829
基隆市,中正區,第225里,89.1,68.9,22.8,基隆市中正區核心商圈,25.1185,121.7283
桃園市,楊梅區,第225里,133.8,104.9,30.3,桃園市楊梅區核心商圈,25.059,121.3216
新竹市,香山區,第225里,206.0,159.0,30.9,新竹市香山區核心商圈,24.7594,121.0768
新竹縣,北埔鄉,第225里,137.2,103.1,28.6,新竹縣北埔鄉核心商圈,24.88,121.0556
苗栗縣,造橋鄉,第225里,82.1,63.0,26.7,苗栗縣造橋鄉核心商圈,24.6382,120.8076
台中市,后里區,第225里,196.9,151.6,30.5,台中市后里區核心商圈,24.1199,120.5708
彰化縣,埔鹽鄉,第225里,117.6,90.6,24.7,彰化縣埔鹽鄉核心商圈,24.0026,120.4885
南投縣,國姓鄉,第225里,118.6,91.7,24.1,南投縣國姓鄉核心商圈,23.9888,120.7031
雲林縣,臺西鄉,第225里,112.3,81.0,24.8,雲林縣臺西鄉核心商圈,23.7095,120.4697
嘉義市,西區,第225里,119.8,91.8,26.4,嘉義市西區核心商圈,23.4653,120.4302
嘉義縣,新港鄉,第225里,100.4,75.1,24.8,嘉義縣新港鄉核心商圈,23.385,120.2902
台南市,西港區,第225里,95.2,75.8,28.6,台南市西港區核心商圈,22.9117,120.1426
高雄市,杉林區,第225里,111.2,82.5,26.5,高雄市杉林區核心商圈,22.6801,120.3754
屏東縣,林邊鄉,第225里,88.3,62.7,26.9,屏東縣林邊鄉核心商圈,22.7382,120.4659
宜蘭縣,冬山鄉,第225里,113.2,81.2,28.8,宜蘭縣冬山鄉核心商圈,24.7432,121.8157
花蓮縣,花蓮市,第225里,112.3,87.0,26.6,花蓮縣花蓮市核心商圈,23.9381,121.5758
台東縣,成功鎮,第225里,114.2,85.8,27.5,台東縣成功鎮核心商圈,22.7035,121.1409
澎湖縣,七美鄉,第225里,100.7,71.2,22.1,澎湖縣七美鄉核心商圈,23.5653,119.4889
金門縣,烈嶼鄉,第225里,101.7,74.8,26.7,金門縣烈嶼鄉核心商圈,24.406,118.4086
連江縣,南竿鄉,第225里,107.3,76.7,24.1,連江縣南竿鄉核心商圈,26.1665,119.9223
台北市,南港區,第226里,167.9,138.9,29.7,台北市南港區核心商圈,24.9506,121.5645
新北市,平溪區,第226里,117.6,89.5,32.3,新北市平溪區核心商圈,25.0138,121.4671
基隆市,仁愛區,第226里,107.9,77.8,23.5,基隆市仁愛區核心商圈,25.1383,121.6821
桃園市,桃園區,第226里,181.1,141.9,29.5,桃園市桃園區核心商圈,25.0477,121.3571
新竹市,東區,第226里,138.8,114.4,35.3,新竹市東區核心商圈,24.7946,120.9814
新竹縣,湖口鄉,第226里,197.1,147.1,27.9,新竹縣湖口鄉核心商圈,24.7819,121.0812
苗栗縣,公館鄉,第226里,88.6,66.7,26.1,苗栗縣公館鄉核心商圈,24.4935,120.7689
台中市,梧棲區,第226里,139.5,111.0,30.1,台中市梧棲區核心商圈,24.1124,120.6532
彰化縣,鹿港鎮,第226里,83.6,63.2,27.5,彰化縣鹿港鎮核心商圈,24.1473,120.5172
南投縣,南投市,第226里,116.0,84.6,28.5,南投縣南投市核心商圈,23.9365,120.7175
雲林縣,臺西鄉,第226里,110.4,82.9,27.1,雲林縣臺西鄉核心商圈,23.6345,120.4685
嘉義市,東區,第226里,104.6,81.1,27.7,嘉義市東區核心商圈,23.4491,120.5123
嘉義縣,阿里山鄉,第226里,87.1,66.3,24.7,嘉義縣阿里山鄉核心商圈,23.4819,120.3387
台南市,官田區,第226里,126.5,91.6,27.6,台南市官田區核心商圈,23.0445,120.1223
高雄市,苓雅區,第226里,119.4,87.2,27.8,高雄市苓雅區核心商圈,22.6692,120.3222
屏東縣,萬丹鄉,第226里,86.8,64.6,27.7,屏東縣萬丹鄉核心商圈,22.6409,120.5105
宜蘭縣,五結鄉,第226里,97.1,70.1,27.0,宜蘭縣五結鄉核心商圈,24.7279,121.8164
花蓮縣,玉里鎮,第226里,107.8,79.2,26.1,花蓮縣玉里鎮核心商圈,23.8963,121.5721
台東縣,金峰鄉,第226里,82.6,61.3,24.0,台東縣金峰鄉核心商圈,22.6785,121.2165
澎湖縣,馬公市,第226里,88.1,66.3,25.2,澎湖縣馬公市核心商圈,23.5098,119.6168
金門縣,金寧鄉,第226里,89.0,68.5,27.7,金門縣金寧鄉核心商圈,24.4982,118.3904
連江縣,東引鄉,第226里,98.9,73.5,26.6,連江縣東引鄉核心商圈,26.0905,119.8587
台北市,南港區,第227里,201.7,159.4,34.9,台北市南港區核心商圈,24.9772,121.5624
新北市,新店區,第227里,133.5,109.3,27.2,新北市新店區核心商圈,25.0336,121.4192
基隆市,中正區,第227里,95.8,70.5,22.1,基隆市中正區核心商圈,25.0592,121.7982
桃園市,龜山區,第227里,107.7,85.9,27.8,桃園市龜山區核心商圈,24.9933,121.3113
新竹市,東區,第227里,143.4,114.5,33.2,新竹市東區核心商圈,24.8367,121.074
新竹縣,五峰鄉,第227里,185.0,147.7,26.4,新竹縣五峰鄉核心商圈,24.8785,121.0107
苗栗縣,苑裡鎮,第227里,106.8,82.0,28.3,苗栗縣苑裡鎮核心商圈,24.6364,120.8353
台中市,大雅區,第227里,171.6,123.9,32.4,台中市大雅區核心商圈,24.0956,120.5899
彰化縣,二水鄉,第227里,89.9,68.0,23.1,彰化縣二水鄉核心商圈,24.0789,120.4672
南投縣,仁愛鄉,第227里,82.7,64.1,27.1,南投縣仁愛鄉核心商圈,23.834,120.6881
雲林縣,林內鄉,第227里,99.0,75.8,28.5,雲林縣林內鄉核心商圈,23.7773,120.408
嘉義市,東區,第227里,110.9,81.7,22.0,嘉義市東區核心商圈,23.4869,120.387
嘉義縣,中埔鄉,第227里,102.1,73.8,22.2,嘉義縣中埔鄉核心商圈,23.4164,120.237
台南市,楠西區,第227里,156.7,122.0,25.8,台南市楠西區核心商圈,23.0435,120.2255
高雄市,大寮區,第227里,122.4,86.2,30.5,高雄市大寮區核心商圈,22.6143,120.2494
屏東縣,南州鄉,第227里,110.2,84.2,26.4,屏東縣南州鄉核心商圈,22.6235,120.4087
宜蘭縣,五結鄉,第227里,119.9,88.6,23.8,宜蘭縣五結鄉核心商圈,24.6707,121.7361
花蓮縣,鳳林鎮,第227里,89.2,63.0,24.8,花蓮縣鳳林鎮核心商圈,23.9553,121.5367
台東縣,海端鄉,第227里,85.3,61.4,26.8,台東縣海端鄉核心商圈,22.7228,121.1919
澎湖縣,望安鄉,第227里,95.0,71.8,28.0,澎湖縣望安鄉核心商圈,23.6024,119.5434
金門縣,金湖鎮,第227里,90.8,67.8,24.0,金門縣金湖鎮核心商圈,24.4124,118.4059
連江縣,南竿鄉,第227里,99.0,71.8,24.7,連江縣南竿鄉核心商圈,26.0818,119.9833
台北市,大同區,第228里,267.8,211.0,32.4,台北市大同區核心商圈,25.0591,121.5879
新北市,五股區,第228里,175.1,132.3,29.3,新北市五股區核心商圈,24.9864,121.4109
基隆市,暖暖區,第228里,109.9,81.0,25.4,基隆市暖暖區核心商圈,25.1657,121.7406
桃園市,大溪區,第228里,133.2,101.4,27.7,桃園市大溪區核心商圈,24.9586,121.2593
新竹市,香山區,第228里,220.7,171.0,30.6,新竹市香山區核心商圈,24.8011,120.9695
新竹縣,新豐鄉,第228里,180.1,147.1,28.7,新竹縣新豐鄉核心商圈,24.794,120.9433
苗栗縣,獅潭鄉,第228里,91.3,70.8,28.6,苗栗縣獅潭鄉核心商圈,24.579,120.7461
台中市,霧峰區,第228里,150.4,120.0,33.3,台中市霧峰區核心商圈,24.1842,120.6969
彰化縣,秀水鄉,第228里,114.4,80.9,24.9,彰化縣秀水鄉核心商圈,24.1104,120.5928
南投縣,水里鄉,第228里,119.3,88.8,25.8,南投縣水里鄉核心商圈,23.9794,120.7596
雲林縣,口湖鄉,第228里,93.4,68.4,23.7,雲林縣口湖鄉核心商圈,23.7478,120.3508
嘉義市,西區,第228里,90.6,70.4,27.1,嘉義市西區核心商圈,23.4754,120.4253
嘉義縣,東石鄉,第228里,96.8,72.0,26.6,嘉義縣東石鄉核心商圈,23.4435,120.3095
台南市,安平區,第228里,166.0,130.2,26.1,台南市安平區核心商圈,22.9536,120.1627
高雄市,梓官區,第228里,163.3,119.9,30.4,高雄市梓官區核心商圈,22.7127,120.337
屏東縣,車城鄉,第228里,90.4,68.3,24.7,屏東縣車城鄉核心商圈,22.5974,120.4769
宜蘭縣,員山鄉,第228里,94.4,70.7,22.9,宜蘭縣員山鄉核心商圈,24.6825,121.7678
花蓮縣,新城鄉,第228里,88.8,62.6,22.9,花蓮縣新城鄉核心商圈,23.9594,121.5997
台東縣,關山鎮,第228里,107.9,83.6,22.6,台東縣關山鎮核心商圈,22.8144,121.2227
澎湖縣,馬公市,第228里,106.5,81.7,24.8,澎湖縣馬公市核心商圈,23.6254,119.6036
金門縣,烏坵鄉,第228里,119.7,86.5,24.6,金門縣烏坵鄉核心商圈,24.3819,118.4403
連江縣,東引鄉,第228里,82.2,60.9,22.2,連江縣東引鄉核心商圈,26.165,119.964
台北市,信義區,第229里,298.2,250.1,33.9,台北市信義區核心商圈,24.9976,121.5554
新北市,中和區,第229里,124.3,97.9,28.3,新北市中和區核心商圈,24.9906,121.4118
基隆市,七堵區,第229里,84.7,64.0,22.1,基隆市七堵區核心商圈,25.1652,121.7363
桃園市,龍潭區,第229里,113.6,88.2,29.2,桃園市龍潭區核心商圈,24.9671,121.3616
新竹市,香山區,第229里,301.1,238.0,29.6,新竹市香山區核心商圈,24.7682,120.9357
新竹縣,北埔鄉,第229里,166.7,127.3,29.5,新竹縣北埔鄉核心商圈,24.8403,121.0546
苗栗縣,頭份市,第229里,89.5,65.6,28.0,苗栗縣頭份市核心商圈,24.5883,120.8915
